id,actor
1,Demián Bichir
2,Héctor Bonilla
3,Oscar Serrano
4,Azalia Ortiz
5,Octavio Michel
6,Carmen Beato
7,Tedd Chan
8,Stella Chung
9,Henley Hii
10,Lawrence Koh
11,Tommy Kuan
12,Josh Lai
13,Mark Lee
14,Susan Leong
15,Benjamin Lim
16,Elijah Wood
17,John C. Reilly
18,Jennifer Connelly
19,Christopher Plummer
20,Crispin Glover
21,Martin Landau
22,Fred Tatasciore
23,Alan Oppenheimer
24,Tom Kane
25,Jim Sturgess
26,Kevin Spacey
27,Kate Bosworth
28,Aaron Yoo
29,Liza Lapira
30,Jacob Pitts
31,Laurence Fishburne
32,Jack McGee
33,Josh Gad
34,Sam Golzari
35,Helen Carey
36,Jack Gilpin
37,Erdal Beşikçioğlu
38,Yasemin Allen
39,Melis Birkan
40,Saygın Soysal
41,Berkan Şal
42,Metin Belgin
43,Ayça Eren
44,Selin Uludoğan
45,Özay Fecht
46,Suna Yıldızoğlu
47,Amina Khalil
48,Ahmed Dawood
49,Tarek Lotfy
50,Ahmed El Fishawy
51,Mahmoud Hijazi
52,Jihane Khalil
53,Asmaa Galal
54,Tara Emad
55,Samuel L. Jackson
56,John Heard
57,Kelly Rowan
58,Clifton Collins Jr.
59,Tony Plana
60,Divya Dutta
61,Atul Kulkarni
62,Mohan Agashe
63,Anupam Shyam
64,Raayo S. Bakhirta
65,Yashvit Sancheti
66,Greeva Kansara
67,Archan Trivedi
68,Rajiv Pathak
69,Rajneesh Duggal
70,Adah Sharma
71,Indraneil Sengupta
72,Anjori Alagh
73,Rajendranath Zutshi
74,Vipin Sharma
75,Amin Hajee
76,Shri Vallabh Vyas
77,Thomas Jane
78,Molly Parker
79,Dylan Schmid
80,Kaitlyn Bernard
81,Bob Frazer
82,Brian d'Arcy James
83,Neal McDonough
84,Artiwara Kongmalai
85,Omar Epps
86,Kate Walsh
87,Miranda Cosgrove
88,Angus Macfadyen
89,Jorja Fox
90,Enver Gjokaj
91,Haaz Sleiman
92,Sadiq Daba
93,David Bailie
94,Kayode Olaiya
95,Kehinde Bankole
96,Fabian Adeoye Lojede
97,Nick Rhys
98,Kunle Afolayan
99,Colin David Reese
100,Ibrahim Shatta
101,Femi Adebayo
102,Kanayo O. Kanayo
103,Lawrence Stubbings
104,Ademola Adedoyin
105,Anders Danielsen Lie
106,Jon Øigarden
107,Jonas Strand Gravli
108,Ola G. Furuseth
109,Maria Bock
110,Thorbjørn Harr
111,Jaden Smith
112,Rahul Pethe
113,Mrunmayee Deshpande
114,Adinath Kothare
115,Vaibhav Mangale
116,Jaywant Wadkar
117,Satish Pulekar
118,Naina Apte
119,Uday Tikekar
120,Geetanjali Thapa
121,Zain Khan Durrani
122,Shray Rai Tiwari
123,Mona Ambegaonkar
124,Chandreyee Ghosh
125,Barun Chanda
126,Saheb Bhattacharjee
127,Shefali Chauhan
128,Samuthirakani
129,Bharath Seeni
130,Vinoth
131,Esakki Barath
132,Chemban Vinod Jose
133,Gautham Menon
134,Krisha Kurup
135,Subiksha
136,Adil Hussain
137,Shakil Imtiaz
138,Mahendra Rabha
139,Sulakshana Baruah
140,Rahul Gautam Sarma
141,Kulada Bhattacharjya
142,Indu Mohan Das
143,Moumita Talukdar
144,Soumitra Chatterjee
145,Prasenjit Chatterjee
146,Indrani Haldar
147,Sudipta Chakraborty
148,Suman Banerjee
149,Gargi Roychowdhury
150,Yoo Ah-in
151,Park Shin-hye
152,Helen Mirren
153,Gengher Gatti
154,Adipati Dolken
155,Vanesha Prescilla
156,Rendi Jhon
157,Beby Tsabina
158,Denira Wiraguna
159,Refal Hady
160,Diandra Agatha
161,Sari Nila
162,Mawar de Jongh
163,Vonny Cornellya
164,Clay Gribble
165,Ivan Leonardy
166,Sarah Sechan
167,Jourdy Pranata
168,Nesta Cooper
169,John Michael Higgins
170,Keith Powers
171,Alicia Sanz
172,Jake Borelli
173,Kid Ink
174,Yousef Erakat
175,Rebekah Graf
176,Anne Winters
177,Peter Gilroy
178,Patrick Davis
179,Jake Short
180,Sarah Fisher
181,Booboo Stewart
182,Danny Trejo
183,Pippa Mackie
184,Jake Smith
185,Patricia Zentilli
186,Carter Thicke
187,Flavia Hojda
188,Crina Semciuc
189,Olimpia Melinte
190,Levent Sali
