id,genre
1,Dramas
2,International Movies
3,Horror Movies
4,Action & Adventure
5,Independent Movies
6,Sci-Fi & Fantasy
7,International TV Shows
8,TV Dramas
9,TV Mysteries
10,Thrillers
11,Documentaries
12,Sports Movies
13,Comedies
14,Romantic Movies
15,Music & Musicals
16,LGBTQ Movies
17,Children & Family Movies
18,TV Shows
19,Classic Movies
20,Movies
21,Cult Movies
22,Reality TV
23,Stand-Up Comedy
24,Anime Features
25,Anime Series
26,Kids' TV
27,Korean TV Shows
28,Stand-Up Comedy & Talk Shows
29,Docuseries
30,Crime TV Shows
31,Spanish-Language TV Shows
32,TV Comedies
33,Faith & Spirituality
34,TV Action & Adventure
35,Romantic TV Shows
36,British TV Shows
37,TV Sci-Fi & Fantasy
38,Teen TV Shows
39,TV Horror
40,TV Thrillers
41,Science & Nature TV
42,Classic & Cult TV
