show_id,title,director,rating,type,date_added,release_year,description
s2,7:19,Jorge Michel Grau,TV-MA,Movie,2016-12-23,2016,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive."
s3,23:59,Gilbert Chan,R,Movie,2018-12-20,2011,"When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that''s haunting their jungle island training camp."
s4,9,Shane Acker,PG-13,Movie,2017-11-16,2009,"In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group."
s5,21,Robert Luketic,PG-13,Movie,2020-01-01,2008,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.
s6,46,Serdar Akar,TV-MA,TV Show,2017-07-01,2016,"A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect."
s7,122,Yasir Al Yasiri,TV-MA,Movie,2020-06-01,2019,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them."
s8,187,Kevin Reynolds,R,Movie,2019-11-01,1997,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment."
s9,706,Shravan Kumar,TV-14,Movie,2019-04-01,2019,"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he''s leading on."
s10,1920,Vikram Bhatt,TV-MA,Movie,2017-12-15,2008,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.
s11,1922,Zak Hilditch,TV-MA,Movie,2017-10-20,2017,"A farmer pens a confession admitting to his wife''s murder, but her death is just the beginning of a macabre tale. Based on Stephen King''s novella."
s14,"2,215",Nottapon Boonprakob,TV-MA,Movie,2019-03-01,2018,"This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017."
s15,3022,John Suits,R,Movie,2020-03-19,2019,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds."
s16,Oct-01,Kunle Afolayan,TV-14,Movie,2019-09-01,2014,"Against the backdrop of Nigeria''s looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women."
